City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
503,Moanda,GA,74.66,light rain,-1.5575,13.2178,Heliconia Stadium Moanda
508,Miraflores,MX,74.16,clear sky,19.2167,-98.8083,Hotel Mansión
509,Coquimbo,CL,64.13,few clouds,-29.9533,-71.3436,Punto de encuentro
512,Ojuelos De Jalisco,MX,69.17,clear sky,21.8667,-101.5833,Hotel La Paz
514,Kathmandu,NP,57.42,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
524,Dawei,MM,70.7,scattered clouds,14.0833,98.2,Hotel Dawei
526,Bikaner,IN,64.62,clear sky,28.0167,73.3,Karina Guest House
527,Umrala,IN,62.87,clear sky,21.8333,71.8167,Gopalwadi Balmndir
528,Long Xuyen,VN,73.35,overcast clouds,10.3833,105.4167,Nhà Nghỉ Sài Gòn Ngày Đêm
529,Beawar,IN,59.16,clear sky,26.1,74.3167,HL Palace Beawar
530,Lagoa,PT,64.24,overcast clouds,39.05,-27.9833,Casa Das Faias
536,Nishihara,JP,63.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
537,Portoferraio,IT,56.97,overcast clouds,42.8115,10.3146,Hotel Villa Ombrosa
542,Vityazevo,RU,50.43,broken clouds,44.9931,37.2719,Altair Guest House
543,Sao Francisco Do Sul,BR,72.1,overcast clouds,-26.2433,-48.6381,Hotel Kontiki
553,Broome,US,53.58,overcast clouds,42.2506,-75.833,Chenango Valley State Park
